confidence_visibility,decision_owner,error_cost,mean_cost,model_id,n,policy,prompt_family
hidden,human,5.0,0.67,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
hidden,human,5.0,0.648,openai_gpt56_sol,500,direct,v2_owner_match_v1
hidden,human,5.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
hidden,human,5.0,0.786,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,human,10.0,1.74,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,human,10.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,human,10.0,0.9525,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,human,10.0,1.312,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,human,10.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,human,10.0,1.328,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,human,2.0,0.348,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,human,2.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,human,2.0,0.35,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,human,2.0,0.348,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,human,2.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,human,2.0,0.352,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,human,20.0,3.48,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,human,20.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,human,20.0,0.955,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,human,20.0,2.174,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,human,20.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,human,20.0,2.076,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
visible,human,5.0,0.87,openai_gpt56_sol,500,always_use_unverified,v2_owner_match_v1
visible,human,5.0,1.0,openai_gpt56_sol,500,always_verify,v2_owner_match_v1
visible,human,5.0,0.67,openai_gpt56_sol,400,calibrated_confidence,v2_owner_match_v1
visible,human,5.0,0.778,openai_gpt56_sol,500,direct,v2_owner_match_v1
visible,human,5.0,0.174,openai_gpt56_sol,500,oracle,v2_owner_match_v1
visible,human,5.0,0.786,openai_gpt56_sol,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,10.0,3.56,xai_grok420_nonreasoning,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,10.0,1.0,xai_grok420_nonreasoning,500,always_verify,v2_owner_match_v1
hidden,ai_system,10.0,0.93,xai_grok420_nonreasoning,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,10.0,0.988,xai_grok420_nonreasoning,500,direct,v2_owner_match_v1
hidden,ai_system,10.0,0.356,xai_grok420_nonreasoning,500,oracle,v2_owner_match_v1
hidden,ai_system,10.0,0.928,xai_grok420_nonreasoning,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.712,xai_grok420_nonreasoning,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,2.0,1.0,xai_grok420_nonreasoning,500,always_verify,v2_owner_match_v1
hidden,ai_system,2.0,0.66,xai_grok420_nonreasoning,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,2.0,0.95,xai_grok420_nonreasoning,500,direct,v2_owner_match_v1
hidden,ai_system,2.0,0.356,xai_grok420_nonreasoning,500,oracle,v2_owner_match_v1
hidden,ai_system,2.0,0.656,xai_grok420_nonreasoning,500,raw_confidence,v2_owner_match_v1
hidden,ai_system,20.0,7.12,xai_grok420_nonreasoning,500,always_use_unverified,v2_owner_match_v1
hidden,ai_system,20.0,1.0,xai_grok420_nonreasoning,500,always_verify,v2_owner_match_v1
hidden,ai_system,20.0,0.93,xai_grok420_nonreasoning,400,calibrated_confidence,v2_owner_match_v1
hidden,ai_system,20.0,1.038,xai_grok420_nonreasoning,500,direct,v2_owner_match_v1
hidden,ai_system,20.0,0.356,xai_grok420_nonreasoning,500,oracle,v2_owner_match_v1
